,0,1,2,3,4,5,6
0,plan9906,Operations - 117,2076-11-25,2076-11-10,17company,0.0,90c025b154
1,plan9905,Marketing - 112,2076-07-26,2076-06-14,12company,0.0,f9ab800b34
2,plan9904,Research & Development - 9,2077-08-29,2077-06-28,9company,0.0,0d0ebf50fd
3,plan9903,Purchase - 2,2077-11-29,2077-09-17,2company,0.0,3216282aef
4,plan9902,Purchase - 9,2077-06-24,2077-06-21,9company,0.0,511283e06b
5,plan9901,Marketing - 7,2077-07-28,2077-04-27,7company,0.0,2adaa1cd86
6,plan9900,Human Resources - 4,2077-08-24,2077-06-09,4company,905093.0,109ed6ab6e
7,plan9880,Dispatch - 4,2075-05-17,2075-05-05,4company,614296.0,5547287bcb
8,plan9879,Sales - 118,2074-05-18,2074-05-17,18company,383614.0,df36ef32fe
9,plan9878,Quality Management - 118,2074-09-11,2074-09-03,18company,0.0,24b6589e4f
10,plan9877,Production - 6,2073-04-13,2073-03-09,6company,0.0,a5ebd09e54
11,plan9876,Management - 9,2074-10-19,2074-04-14,9company,0.0,2978a98579
12,plan9875,Marketing - 115,2074-09-28,2074-05-13,15company,0.0,12c43f86a9
13,plan9872,Customer Service - 114,2074-09-25,2074-03-18,14company,508060.0,bbc33487ed
14,plan9871,Legal - 6,2074-09-29,2074-09-29,6company,0.0,b171d249b3
15,plan9870,Legal - 116,2075-09-12,2075-09-10,16company,0.0,6b80224f89
16,plan9869,Legal - 6,2075-07-24,2075-06-12,6company,0.0,29ab0543af
17,plan9868,Customer Service - 1,2073-05-28,2073-05-26,1company,0.0,1b873a51d7
18,plan9866,Purchase - 1,2074-09-20,2074-08-11,1company,557060.0,e46974e361
19,plan9865,Legal - 6,2073-07-14,2073-06-08,6company,641860.0,84e0069436
20,plan9864,Quality Management - 1,2075-05-12,2075-02-07,1company,552566.0,52b8d2b499
21,plan9863,Research & Development - 4,2075-11-25,2075-11-25,4company,1083416.0,fc4ad04f28
22,plan9862,Research & Development - 117,2075-11-26,2075-09-21,17company,0.0,4a3c8267bf
23,plan9861,Purchase - 110,2075-05-28,2075-04-28,10company,205210.0,e0aa6f748e
24,plan9860,Production - 118,2074-10-19,2074-04-16,18company,712746.0,2687c7e94f
25,plan9858,Research & Development - 115,2074-08-23,2074-08-15,15company,338568.0,e758ea5812
26,plan9857,Legal - 6,2074-08-09,2074-03-01,6company,315700.0,35f73f20ed
27,plan9856,Legal - 113,2075-11-21,2075-11-18,13company,539544.0,c4590c1811
28,plan9855,Operations - 114,2075-08-29,2075-02-22,14company,672460.0,7a780e0cb8
29,plan9854,Operations - 116,2073-11-20,2073-02-18,16company,0.0,303e4ff095
30,plan9853,,2073-02-28,2073-01-19,11company,509084.0,ac6bbd7b63
31,plan9852,Quality Management - 8,2074-11-23,2073-11-17,8company,0.0,0ac713252e
32,plan9850,Production - 3,2075-10-18,2075-10-14,3company,928863.0,a1b43759dc
33,plan9848,Management - 9,2074-09-28,2074-08-28,9company,0.0,f8448082ee
34,plan9846,,2073-11-28,2073-11-14,11company,407900.0,670a9fb2c5
35,plan9845,Production - 117,2074-11-20,2074-09-10,17company,394588.0,1599bd8a5e
36,plan9844,Dispatch - 5,2074-10-09,2074-10-09,5company,166946.0,a8360a86c8
37,plan9843,Management - 110,2074-07-29,2073-02-10,10company,0.0,419ae64583
38,plan9842,Marketing - 5,2074-08-29,2074-04-08,5company,591371.0,2c840b3295
39,plan9841,Marketing - 1,2074-11-27,2074-05-11,1company,0.0,85d532c0ce
40,plan9840,Management - 5,2074-11-27,2074-11-27,5company,297886.0,fd52308097
41,plan9839,Legal - 1,2074-07-08,2074-06-07,1company,811720.0,82f980bf73
42,plan9838,Research & Development - 7,2074-11-17,2074-11-06,7company,276074.0,36737dc728
43,plan9837,Sales - 112,2075-07-25,2075-07-16,12company,573360.0,0d280f8bb0
44,plan9836,Legal - 9,2074-09-20,2074-08-14,9company,0.0,f1e189ce6b
45,plan9835,Purchase - 4,2074-11-29,2073-08-26,4company,0.0,f11fd6b73c
46,plan9834,Operations - 114,2073-08-25,2073-08-21,14company,0.0,29f7bdeeb3
47,plan9833,Sales - 115,2075-11-26,2075-11-09,15company,659570.0,7b36acaf8a
48,plan9832,Legal - 116,2073-03-12,2073-03-06,16company,1483790.0,0dcf7a61e9
49,plan9831,Operations - 113,2075-11-23,2075-10-16,13company,785232.0,4d235abb7e
50,plan9830,Sales - 112,2074-10-17,2074-01-12,12company,373604.0,05eeb4718b
51,plan9829,Quality Management - 8,2073-09-27,2073-07-09,8company,0.0,906b9ad225
52,plan9828,Production - 114,2075-10-21,2075-06-15,14company,754288.0,2301516082
53,plan9824,Purchase - 8,2074-11-24,2074-11-23,8company,0.0,851e7853ef
54,plan9822,Dispatch - 112,2073-07-19,2073-03-03,12company,917973.0,2d93134cb0
55,plan9821,Legal - 7,2073-08-10,2073-06-04,7company,0.0,c499613ae1
56,plan9819,Production - 112,2075-11-28,2075-09-28,12company,0.0,23ef082d30
57,plan9818,Research & Development - 6,2074-10-25,2074-10-17,6company,0.0,6e22fca566
58,plan9817,Legal - 1,2075-09-29,2075-09-22,1company,490889.0,29b4842aba
59,plan9816,Customer Service - 9,2073-03-06,2073-01-04,9company,684900.0,43acc34a82
60,plan9815,Operations - 8,2073-09-29,2073-04-27,8company,0.0,fb4fa78e86
61,plan9814,Management - 5,2074-08-26,2073-08-26,5company,0.0,c2421b1eee
62,plan9813,Customer Service - 2,2075-11-27,2075-09-25,2company,227404.0,f7ca29f260
63,plan9812,,2074-07-27,2074-05-12,11company,0.0,dfc82bf3b3
64,plan9811,Marketing - 8,2074-08-17,2074-01-04,8company,0.0,5d86603c6f
65,plan9810,Operations - 8,2075-10-23,2075-02-11,8company,0.0,3367fb9a60
66,plan9809,Dispatch - 7,2074-08-24,2074-08-03,7company,0.0,07e23bf75b
67,plan9808,Production - 8,2074-05-22,2074-04-20,8company,715221.0,e09bf46e15
68,plan9807,Management - 7,2074-08-20,2073-07-18,7company,0.0,45c6fcba3b
69,plan9806,Dispatch - 5,2074-11-16,2074-11-05,5company,0.0,d71860f206
70,plan9805,Purchase - 118,2075-09-26,2075-06-26,18company,0.0,64a9186418
71,plan9804,Marketing - 6,2074-11-19,2073-07-07,6company,406650.0,b70e1c702b
72,plan9803,Legal - 6,2074-07-28,2074-07-25,6company,0.0,7671b61d66
73,plan9802,Operations - 7,2073-04-29,2073-03-24,7company,332301.0,c807b3f876
74,plan9801,Quality Management - 3,2073-09-29,2073-01-19,3company,173763.0,4c8754c947
75,plan9800,Marketing - 116,2073-11-07,2073-11-05,16company,0.0,e8aea68f2c
76,plan9799,Purchase - 114,2073-09-20,2073-06-20,14company,0.0,ec85524cda
77,plan9798,Operations - 113,2073-10-18,2073-06-18,13company,0.0,36b59fe6cb
78,plan9797,Purchase - 5,2074-07-28,2074-04-10,5company,0.0,0c7d5428b4
79,plan9796,Management - 112,2074-11-15,2073-11-13,12company,0.0,a8320501fd
80,plan9795,Customer Service - 113,2075-09-28,2075-07-28,13company,0.0,77e8c52e3f
81,plan9794,Marketing - 6,2074-07-25,2074-05-22,6company,0.0,575109d941
82,plan9793,Human Resources - 2,2074-09-26,2074-07-26,2company,0.0,148b3c803d
83,plan9792,Dispatch - 6,2075-11-28,2075-09-20,6company,0.0,2fe0f95c5c
84,plan9791,Purchase - 1,2073-08-26,2073-07-10,1company,237640.0,ac342ab7f4
85,plan9790,Purchase - 3,2074-08-20,2074-07-09,3company,1408420.0,e05a6a9194
86,plan9789,Research & Development - 118,2074-09-24,2073-09-06,18company,337638.0,74b13024b5
87,plan9788,Research & Development - 7,2073-11-28,2073-11-21,7company,0.0,9b71a97e2e
88,plan9787,Dispatch - 4,2074-11-26,2073-11-24,4company,731680.0,22c3eb2e2a
89,plan9786,Research & Development - 3,2075-11-28,2075-11-25,3company,0.0,b349bbd416
90,plan9785,Human Resources - 5,2074-09-21,2074-08-07,5company,0.0,0acfd267a1
